ActivityCode,Competition,,,,,,,,
NULL,Unknown,,,,,,,,
1,Legacy - Energy,,,,,,,,
2,Legacy - CR&D,,,,,,,,
3,Nano CR&D,,,,,,,,
4,Nano Centres,,,,,,,,
5,KTP Activity,,,,,,,,
401,Advanced Composite Materials and Structures Apr-04,,,,,,,,
402,Biopharmaceutical Bioprocessing Apr-04,,,,,,,,
404,Bioscience and Healthcare Apr-04,,,,,,,,
405,Disruptive Techs in Electronics & Displays Apr-04,,,,,,,,
406,Energy Efficient Technologies Apr-04,,,,,,,,
407,Environment Friendly Transport: Aerospace Apr-04,,,,,,,,
408,Environment Friendly Transport: Automotive Apr-04,,,,,,,,
409,Inter-enterprise Computing Apr-04,,,,,,,,
410,Management of complex fluid flow conditions Apr-04,,,,,,,,
411,New & Renewable Energy Apr-04,,,,,,,,
412,Sensors & Systems for Environmental Apps Apr-04,,,,,,,,
413,Sensors and Imaging Apr-04,,,,,,,,
417,Bio-Based Industrial Products and Processes Nov-04,,,,,,,,
418,"Design, Simulation and Modelling Nov-04",,,,,,,,
419,Emerging Energy Technologies Nov-04,,,,,,,,
420,Energy Efficient Technologies Nov-04,,,,,,,,
421,Imaging Technologies Nov-04,,,,,,,,
422,Oil & Gas Technologies Nov-04,,,,,,,,
423,Optoelectronics & Disruptive Electr Techs Nov-04,,,,,,,,
424,Pervasive Computing incl Networks & Sensors Nov-04,,,,,,,,
425,Sensors and Imaging Nov-04,,,,,,,,
426,Smart Materials and Related Structures Nov-04,,,,,,,,
427,Waste Management and Minimisation Nov-04,,,,,,,,
428,ASTRAEA 1,,,,,,,,
507,Advanced Composite Materials and Structures Apr-05,,,,,,,,
508,Advanced Manufacturing - Direct Writing Apr-05,,,,,,,,
509,Biopharmaceutical Bioprocessing Apr-05,,,,,,,,
510,Bioscience and Healthcare Apr-05,,,,,,,,
511,Emerging Energy Technologies Apr-05,,,,,,,,
512,Lasers in Manufac''ing Healthcare & Security Apr-05,,,,,,,,
513,LP: Validation of Complex Systems Apr-05,,,,,,,,
514,Zero Emission Enterprise: Feasibility Study Apr-05,,,,,,,,
515,Zero Emission Enterprise: Full Stage Apr-05,,,,,,,,
518,Advanced Composite Materials and Structures Nov-05,,,,,,,,
519,Bio-Based Industrial Products and Processes Apr-05,,,,,,,,
