Activity Code,Competition Name,Product, Project Number,Participant Name,IsLead,Project Title,Project Status,Project Start Date,Project End Date,Offer Grant
0718,High Value Manufacturing Nov-07,CRD,100030,SYMMETRY MEDICAL CHELTENHAM LIMITED,Lead,New Photo Detection Technology for Possible Use in Sensors for Homeland Security,Closed,01/07/2007,30/06/2009,91375.00
0718,High Value Manufacturing Nov-07,CRD,100030,Hilger Crystals Limited,Collaborator,New Photo Detection Technology for Possible Use in Sensors for Homeland Security,Closed,01/07/2007,30/06/2009,14944.00
0718,High Value Manufacturing Nov-07,CRD,100352,University of Dundee,Collaborator,Enzymatic synthesis of glucuronides,Closed,01/07/2007,31/12/2010,281169.00
0718,High Value Manufacturing Nov-07,CRD,100352,Novacta Biosystems Limited,Lead,Enzymatic synthesis of glucuronides,Closed,01/07/2007,31/12/2010,101853.00
0718,High Value Manufacturing Nov-07,CRD,100373,Thorn Lighting Limited,Collaborator,Encapsulation technologies for advanced lighting systems (ENTALS),Closed,01/07/2007,30/06/2010,38797.00
0718,High Value Manufacturing Nov-07,CRD,100373,Centre for Process Innovation Limited,Lead,Encapsulation technologies for advanced lighting systems (ENTALS),Closed,01/07/2007,30/06/2010,277692.00
0718,High Value Manufacturing Nov-07,CRD,100373,DuPont Teijin Films UK Limited,Collaborator,Encapsulation technologies for advanced lighting systems (ENTALS),Closed,01/07/2007,30/06/2010,75338.00
0718,High Value Manufacturing Nov-07,CRD,100373,Elumin8 Soluitons Limited,Collaborator,Encapsulation technologies for advanced lighting systems (ENTALS),Closed,01/07/2007,30/06/2010,43746.00
0718,High Value Manufacturing Nov-07,CRD,200060,Rolls-Royce PLC,Collaborator,DEEP-Gen II - Completion of Techno-Economic Validation,Closed,01/07/2007,30/06/2009,51920.00
0718,High Value Manufacturing Nov-07,CRD,200060,Edmund Nuttall Limited t/a Ritchies,Collaborator,DEEP-Gen II - Completion of Techno-Economic Validation,Closed,01/07/2007,30/06/2009,88345.00
0718,High Value Manufacturing Nov-07,CRD,200060,SLP Engineering Limited,Collaborator,DEEP-Gen II - Completion of Techno-Economic Validation,Closed,01/07/2007,30/06/2009,17625.00
0718,High Value Manufacturing Nov-07,CRD,200060,Garrad Hassan & Partners Limited,Collaborator,DEEP-Gen II - Completion of Techno-Economic Validation,Closed,01/07/2007,30/06/2009,24834.00
0718,High Value Manufacturing Nov-07,CRD,200060,Tidal Generation Limited,Lead,DEEP-Gen II - Completion of Techno-Economic Validation,Closed,01/07/2007,30/06/2009,316276.00
0718,High Value Manufacturing Nov-07,CRD,400012,Brunel University,Collaborator,FOOTLITE,Closed,01/07/2007,31/07/2011,0.00
0718,High Value Manufacturing Nov-07,CRD,400012,Newcastle University,Collaborator,FOOTLITE,Closed,01/07/2007,31/07/2011,0.00
0718,High Value Manufacturing Nov-07,CRD,400012,Newcastle University,Collaborator,FOOTLITE,Closed,01/07/2007,31/07/2011,2000.00
0718,High Value Manufacturing Nov-07,CRD,400012,University of Southampton,Collaborator,FOOTLITE,Closed,01/07/2007,31/07/2011,0.00
0718,High Value Manufacturing Nov-07,CRD,400012,University of Southampton,Collaborator,FOOTLITE,Closed,01/07/2007,31/07/2011,22000.00
0718,High Value Manufacturing Nov-07,CRD,400012,MIRA Limited,Lead,FOOTLITE,Closed,01/07/2007,31/07/2011,358051.00
0718,High Value Manufacturing Nov-07,CRD,400012,Nissan Technical Centre Europe,Collaborator,FOOTLITE,Closed,01/07/2007,31/07/2011,4181.00
0718,High Value Manufacturing Nov-07,CRD,400012,Transport for London,Collaborator,FOOTLITE,Closed,01/07/2007,31/07/2011,9810.00
0718,High Value Manufacturing Nov-07,CRD,400012,The Institute of Advanced Motorists,Collaborator,FOOTLITE,Closed,01/07/2007,31/07/2011,17778.00
0718,High Value Manufacturing Nov-07,CRD,400012,Auto-txt Limited,Collaborator,FOOTLITE,Closed,01/07/2007,31/07/2011,46055.00
0718,High Value Manufacturing Nov-07,CRD,400012,Ricardo UK Limited,Collaborator,FOOTLITE,Closed,01/07/2007,31/07/2011,288600.00
0718,High Value Manufacturing Nov-07,CRD,400012,Hampshire County Council,Collaborator,FOOTLITE,Closed,01/07/2007,31/07/2011,48176.00
0718,High Value Manufacturing Nov-07,CRD,400012,Sussex Police Authority,Collaborator,FOOTLITE,Closed,01/07/2007,31/07/2011,18259.00
0718,High Value Manufacturing Nov-07,CRD,400012,Sussex Police Authority,Collaborator,FOOTLITE,Closed,01/07/2007,31/07/2011,0.00
0718,High Value Manufacturing Nov-07,CRD,400012,TRW Limited,Collaborator,FOOTLITE,Closed,01/07/2007,31/07/2011,431520.00
0718,High Value Manufacturing Nov-07,CRD,400012,H W Communications Limited,Collaborator,FOOTLITE,Closed,01/07/2007,31/07/2011,120462.00
0718,High Value Manufacturing Nov-07,CRD,400012,Zettlex Printed Technologies Limited,Collaborator,FOOTLITE,Closed,01/07/2007,31/07/2011,135924.00
0718,High Value Manufacturing Nov-07,CRD,400012,RDM Group Limited,Collaborator,FOOTLITE,Closed,01/07/2007,31/07/2011,34580.00
