name,postcode,lat,long
The University of Northampton,NN2 7AL,52.272441864,-0.882539987564
Institute of English Studies,WC1E 7HU,51.520489,-0.12624
University of Edinburgh,EH8 9YL,55.9477386475,-3.18736004829
Trinity Laban Conservatoire of Music and Dance,SE10 9JF,51.483082,-0.00558
University of Manchester Institute of Science and            Technology,M60 1QD,53.4873504639,-2.22720003128
York St John University,YO31 7EX,53.9648399353,-1.07953000069
University of Leeds,LS2 9JT,53.80653,-1.55066
London South Bank University,SE1 0AA,51.4983596802,-0.10163000226
University of East London,RM8 2AS,51.5513496399,0.110670000315
City University,EC1V 0HB,51.5277404785,-0.102300003171
Royal Welsh College of Music and Drama,CF10 3ER,51.4855995178,-3.18390011787
Kent Institute of Art and Design,ME1 1DZ,51.3814582825,0.514320015907
"University of Wales Institute, Cardiff",CF5 2YB,51.4957809448,-3.21214008331
Buckinghamshire New University,HP11 2JZ,51.6274681091,-0.752030014991
The Central School of Speech and Drama,NW3 3HY,51.5442810059,-0.17418000102
Laban,SE8 3DZ,51.478222,-0.02088
Homerton College,CB2 2PH,52.1860198975,0.136020004749
Courtauld Institute of Art,WC2R 0RN,51.5106811523,-0.116920001805
University of Sussex,BN1 9RH,50.8643989563,-0.0870599970222
Guildhall School of Music and Drama,EC2Y 8DT,51.51899,-0.09082
Royal Academy of Music,NW1 5HT,51.5235595703,-0.151730000973
University of Stirling,FK9 4LA,56.1492614746,-3.92682003975
St Mary's University College,TW1 4SX,51.4373817444,-0.335299998521
London School of Hygiene and Tropical Medicine,WC1E 7HT,51.5208702087,-0.130669996142
University of Nottingham,NG7 2RD,52.9421005249,-1.1877399683
St Mary's University College,BT12 6FE,54.5938796997,-5.9609298706
University of Durham,DH1 3HP,54.7749404907,-1.56974005699
University of the West of Scotland,PA1 2BE,55.843739,-4.42723
Goldsmiths College,SE14 6NW,51.4740905762,-0.0353799983859
Newman University College,B32 3NT,52.4340896606,-1.99504005909
University of Hertfordshire,AL10 9AB,51.7528305054,-0.242149993777
BPP University College of Professional Studies Limited,W12 8AW,51.504822,-0.22123
Institute of Musical Research,WC1E 7HU,51.520489,-0.12624
Edge Hill University,L39 4QP,53.5598907471,-2.87339997292
Bath Spa University,BA2 9BN,51.3786888123,-2.4374101162
Marine Institute,PL4 8AA,50.374619,-4.13725
Reading College and School of Arts and Design,RG1 5RQ,51.4476013184,-0.940450012684
Liverpool Institute for Performing Arts,L1 9HF,53.3996505737,-2.97230005264
Cumbria Institute of the Arts,CA3 9AY,54.9061317444,-2.9320499897
University of York,YO10 5DD,53.9484214783,-1.0535299778
University Campus Suffolk,IP4 1LZ,52.0555,1.16347
University of Southampton,SO17 1BJ,50.9359817505,-1.3958799839
